CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Chihuahua,202601,Mayor o igual a 25 y menor a 30 años de edad,388.283815789,438.399076705,12090,9800,2290,0,780,704,76,0
7,Transportes y comunicaciones,Ciudad de México,202601,Mayor o igual a 25 y menor a 30 años de edad,369.591028037,413.007849811,56108,49870,6238,0,3916,3702,214,0
7,Transportes y comunicaciones,Durango,202601,Mayor o igual a 25 y menor a 30 años de edad,387.782,447.606964286,4504,3999,505,0,239,224,15,0
7,Transportes y comunicaciones,Guanajuato,202601,Mayor o igual a 25 y menor a 30 años de edad,382.560930233,420.415917843,12088,11039,1049,0,822,779,43,0
7,Transportes y comunicaciones,Guerrero,202601,Mayor o igual a 25 y menor a 30 años de edad,388.099090909,462.656737805,4451,3991,460,0,350,328,22,0
7,Transportes y comunicaciones,Hidalgo,202601,Mayor o igual a 25 y menor a 30 años de edad,459.872142857,452.158157895,2472,2253,219,0,204,190,14,0
7,Transportes y comunicaciones,Jalisco,202601,Mayor o igual a 25 y menor a 30 años de edad,400.445111111,443.474653521,24916,22490,2426,0,1910,1775,135,0
7,Transportes y comunicaciones,México,202601,Mayor o igual a 25 y menor a 30 años de edad,368.583057851,415.095763033,42500,38530,3970,0,2231,2110,121,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202601,Mayor o igual a 25 y menor a 30 años de edad,387.012173913,426.323892405,5591,5138,453,0,339,316,23,0
7,Transportes y comunicaciones,Morelos,202601,Mayor o igual a 25 y menor a 30 años de edad,346.224285714,418.354072165,4896,4405,491,0,201,194,7,0
7,Transportes y comunicaciones,Nayarit,202601,Mayor o igual a 25 y menor a 30 años de edad,404.127777778,436.322274368,2984,2756,228,0,286,277,9,0
7,Transportes y comunicaciones,Nuevo León,202601,Mayor o igual a 25 y menor a 30 años de edad,416.205661765,463.169355164,19545,17119,2426,0,2121,1985,136,0
7,Transportes y comunicaciones,Oaxaca,202601,Mayor o igual a 25 y menor a 30 años de edad,451.462173913,429.232890365,5272,4791,481,0,324,301,23,0
7,Transportes y comunicaciones,Querétaro,202601,Mayor o igual a 25 y menor a 30 años de edad,405.586111111,425.693873016,4624,4175,449,0,333,315,18,0
7,Transportes y comunicaciones,Quintana Roo,202601,Mayor o igual a 25 y menor a 30 años de edad,386.17625,464.131272727,4795,4223,572,0,236,220,16,0
7,Transportes y comunicaciones,San Luis Potosí,202601,Mayor o igual a 25 y menor a 30 años de edad,390.122592593,433.739576108,7062,6289,773,0,546,519,27,0
7,Transportes y comunicaciones,Sinaloa,202601,Mayor o igual a 25 y menor a 30 años de edad,399.928478261,443.614623656,10000,9036,964,0,697,651,46,0
7,Transportes y comunicaciones,Sonora,202601,Mayor o igual a 25 y menor a 30 años de edad,372.265,434.853761141,7382,6467,915,0,617,561,56,0
7,Transportes y comunicaciones,Tabasco,202601,Mayor o igual a 25 y menor a 30 años de edad,380.518260870,447.079970845,6496,5859,637,0,366,343,23,0
7,Transportes y comunicaciones,Tamaulipas,202601,Mayor o igual a 25 y menor a 30 años de edad,441.802926829,462.683510638,9319,8196,1123,0,699,658,41,0
7,Transportes y comunicaciones,Tlaxcala,202601,Mayor o igual a 25 y menor a 30 años de edad,501.035,425.7734,1937,1819,118,0,102,100,2,0
7,Transportes y comunicaciones,Veracruz,202601,Mayor o igual a 25 y menor a 30 años de edad,393.261486486,451.295003984,15872,14254,1618,0,1329,1255,74,0
7,Transportes y comunicaciones,Yucatán,202601,Mayor o igual a 25 y menor a 30 años de edad,434.1682,430.627775629,7666,6899,767,0,567,517,50,0
7,Transportes y comunicaciones,Zacatecas,202601,Mayor o igual a 25 y menor a 30 años de edad,392.018,407.082173913,2030,1859,171,0,125,115,10,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202601,Mayor o igual a 30 y menor a 35 años de edad,372.68,458.359759615,2359,2083,276,0,220,208,12,0
7,Transportes y comunicaciones,Aguascalientes,202601,Mayor o igual a 30 y menor a 35 años de edad,394.466363636,406.726068966,3225,2882,343,0,156,145,11,0
7,Transportes y comunicaciones,Baja California,202601,Mayor o igual a 30 y menor a 35 años de edad,408.843265306,461.415063830,6586,5602,984,0,519,470,49,0
7,Transportes y comunicaciones,Baja California Sur,202601,Mayor o igual a 30 y menor a 35 años de edad,432.782222222,480.893076923,1250,1034,216,0,87,78,9,0
7,Transportes y comunicaciones,Campeche,202601,Mayor o igual a 30 y menor a 35 años de edad,375.520909091,459.745053191,3602,3144,458,0,210,188,22,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,Mayor o igual a 30 y menor a 35 años de edad,414.759215686,445.158338462,8962,7924,1038,0,701,650,51,0
7,Transportes y comunicaciones,Colima,202601,Mayor o igual a 30 y menor a 35 años de edad,435.534,457.169058824,1695,1451,244,0,90,85,5,0
7,Transportes y comunicaciones,Chiapas,202601,Mayor o igual a 30 y menor a 35 años de edad,395.990833333,451.029434783,7504,6889,615,0,484,460,24,0
7,Transportes y comunicaciones,Chihuahua,202601,Mayor o igual a 30 y menor a 35 años de edad,393.306753247,435.816040268,11062,8811,2251,0,673,596,77,0
7,Transportes y comunicaciones,Ciudad de México,202601,Mayor o igual a 30 y menor a 35 años de edad,369.120274914,424.322016432,56817,50441,6376,0,4551,4260,291,0
7,Transportes y comunicaciones,Durango,202601,Mayor o igual a 30 y menor a 35 años de edad,450.260666667,438.027076023,4249,3704,545,0,186,171,15,0
7,Transportes y comunicaciones,Guanajuato,202601,Mayor o igual a 30 y menor a 35 años de edad,380.905625,429.706534181,10713,9720,993,0,661,629,32,0
7,Transportes y comunicaciones,Guerrero,202601,Mayor o igual a 30 y menor a 35 años de edad,412.401764706,462.951041009,3973,3578,395,0,334,317,17,0
7,Transportes y comunicaciones,Hidalgo,202601,Mayor o igual a 30 y menor a 35 años de edad,423.614285714,448.453619632,2486,2249,237,0,170,163,7,0
7,Transportes y comunicaciones,Jalisco,202601,Mayor o igual a 30 y menor a 35 años de edad,398.709769231,439.348955479,21585,19233,2352,0,1882,1752,130,0
7,Transportes y comunicaciones,México,202601,Mayor o igual a 30 y menor a 35 años de edad,381.517790698,420.295727003,34916,31663,3253,0,1771,1685,86,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202601,Mayor o igual a 30 y menor a 35 años de edad,395.146470588,432.088092105,5483,4961,522,0,321,304,17,0
7,Transportes y comunicaciones,Morelos,202601,Mayor o igual a 30 y menor a 35 años de edad,373.827272727,423.586804734,3961,3564,397,0,180,169,11,0
7,Transportes y comunicaciones,Nayarit,202601,Mayor o igual a 30 y menor a 35 años de edad,458.083157895,453.415798611,2982,2738,244,0,307,288,19,0
7,Transportes y comunicaciones,Nuevo León,202601,Mayor o igual a 30 y menor a 35 años de edad,424.696621622,467.863898051,18654,16221,2433,0,2149,2001,148,0
7,Transportes y comunicaciones,Oaxaca,202601,Mayor o igual a 30 y menor a 35 años de edad,407.559473684,444.935602837,4594,4155,439,0,301,282,19,0
7,Transportes y comunicaciones,Puebla,202601,Mayor o igual a 30 y menor a 35 años de edad,394.280540541,428.665021337,10536,9628,908,0,740,703,37,0
7,Transportes y comunicaciones,Querétaro,202601,Mayor o igual a 30 y menor a 35 años de edad,434.25,426.111305970,4025,3634,391,0,281,268,13,0
7,Transportes y comunicaciones,Quintana Roo,202601,Mayor o igual a 30 y menor a 35 años de edad,453.218636364,445.956290323,3857,3343,514,0,208,186,22,0
7,Transportes y comunicaciones,San Luis Potosí,202601,Mayor o igual a 30 y menor a 35 años de edad,392.9059375,428.951985472,6973,6175,798,0,445,413,32,0
7,Transportes y comunicaciones,Sinaloa,202601,Mayor o igual a 30 y menor a 35 años de edad,416.757192982,448.743785047,9584,8545,1039,0,699,642,57,0
7,Transportes y comunicaciones,Sonora,202601,Mayor o igual a 30 y menor a 35 años de edad,387.037042254,439.396867220,7114,6133,981,0,553,482,71,0
7,Transportes y comunicaciones,Tabasco,202601,Mayor o igual a 30 y menor a 35 años de edad,417.54,451.929057072,6103,5444,659,0,426,403,23,0
