CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Sonora,202512,Entre 30 y 35 años,334.0663291,389.5857379,6694,5744,950,0,926,847,79,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 30 y 35 años,391.797561,401.5058037,5653,5065,588,0,632,591,41,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 30 y 35 años,396.8541026,425.0686776,7900,6834,1066,0,1114,1036,78,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 30 y 35 años,296.682,379.3145255,1606,1496,110,0,142,137,5,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 30 y 35 años,363.6025217,414.0053649,15973,14266,1707,0,1910,1795,115,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 30 y 35 años,362.2928125,382.6730311,7720,6853,867,0,836,772,64,0
7,Transportes y comunicaciones,Zacatecas,202512,Entre 30 y 35 años,313.1116667,375.0180233,1617,1434,183,0,184,172,12,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 35 y 40 años,384.0121429,399.5042756,1815,1611,204,0,297,283,14,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 35 y 40 años,316.8316,384.2411382,2242,1988,254,0,271,246,25,0
7,Transportes y comunicaciones,Baja California,202512,Entre 35 y 40 años,374.6383544,419.0728757,3958,3370,588,0,771,692,79,0
7,Transportes y comunicaciones,Baja California Sur,202512,Entre 35 y 40 años,385.8927778,413.3225517,864,699,165,0,163,145,18,0
7,Transportes y comunicaciones,Campeche,202512,Entre 35 y 40 años,345.5776923,397.5106084,2744,2379,365,0,289,263,26,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,Entre 35 y 40 años,391.5461842,403.6554049,6695,5870,825,0,1064,988,76,0
7,Transportes y comunicaciones,Colima,202512,Entre 35 y 40 años,359.8811111,379.1856835,1146,990,156,0,148,139,9,0
7,Transportes y comunicaciones,Chiapas,202512,Entre 35 y 40 años,401.9848276,408.7696126,5031,4610,421,0,726,697,29,0
7,Transportes y comunicaciones,Chihuahua,202512,Entre 35 y 40 años,349.8468182,391.8271862,7050,5623,1427,0,1088,956,132,0
7,Transportes y comunicaciones,Ciudad de México,202512,Entre 35 y 40 años,349.9823869,386.4936816,48287,43511,4776,0,6754,6356,398,0
7,Transportes y comunicaciones,Durango,202512,Entre 35 y 40 años,363.1080769,385.8514157,2711,2362,349,0,358,332,26,0
7,Transportes y comunicaciones,Guanajuato,202512,Entre 35 y 40 años,358.7836667,382.3012074,7150,6489,661,0,1087,1027,60,0
7,Transportes y comunicaciones,Guerrero,202512,Entre 35 y 40 años,367.3366667,413.6312009,2872,2577,295,0,491,458,33,0
7,Transportes y comunicaciones,Hidalgo,202512,Entre 35 y 40 años,367.6177778,412.3494606,1555,1425,130,0,250,241,9,0
7,Transportes y comunicaciones,Jalisco,202512,Entre 35 y 40 años,356.5665128,395.9206813,16737,14844,1893,0,2661,2466,195,0
7,Transportes y comunicaciones,México,202512,Entre 35 y 40 años,355.8641732,384.8968057,19531,17800,1731,0,2885,2758,127,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,Entre 35 y 40 años,370.3745455,389.5271484,3906,3496,410,0,552,519,33,0
7,Transportes y comunicaciones,Morelos,202512,Entre 35 y 40 años,339.1772222,384.9331532,2462,2190,272,0,240,222,18,0
7,Transportes y comunicaciones,Nayarit,202512,Entre 35 y 40 años,356.3821875,400.0157672,2414,2174,240,0,410,378,32,0
7,Transportes y comunicaciones,Nuevo León,202512,Entre 35 y 40 años,382.8485957,438.7651496,14095,12352,1743,0,3142,2907,235,0
7,Transportes y comunicaciones,Oaxaca,202512,Entre 35 y 40 años,386.6077143,399.7070048,2976,2659,317,0,449,414,35,0
7,Transportes y comunicaciones,Puebla,202512,Entre 35 y 40 años,343.2955319,388.4718744,7383,6721,662,0,1082,1035,47,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 35 y 40 años,367.3936667,386.0639494,2738,2474,264,0,425,395,30,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 35 y 40 años,382.8153846,382.9452381,1857,1592,265,0,257,231,26,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 35 y 40 años,366.1766071,391.0730568,4563,4025,538,0,743,687,56,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 35 y 40 años,380.2898667,405.5298681,6845,5993,852,0,985,910,75,0
7,Transportes y comunicaciones,Sonora,202512,Entre 35 y 40 años,350.5862264,393.7763902,5433,4586,847,0,926,820,106,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 35 y 40 años,354.63325,403.4520572,4409,3974,435,0,599,559,40,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 35 y 40 años,398.6816456,427.1549452,5870,5064,806,0,900,821,79,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 35 y 40 años,355.2,373.6542069,1208,1123,85,0,155,145,10,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 35 y 40 años,364.1099275,416.2455773,12556,11281,1275,0,1879,1741,138,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 35 y 40 años,366.5001852,400.0079318,6591,5876,715,0,905,851,54,0
7,Transportes y comunicaciones,Zacatecas,202512,Entre 35 y 40 años,381.2045,378.9608213,1419,1269,150,0,227,207,20,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 40 y 45 años,389.2015789,427.3242735,1277,1132,145,0,253,234,19,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 40 y 45 años,336.9026087,381.0673128,1449,1293,156,0,250,227,23,0
7,Transportes y comunicaciones,Baja California,202512,Entre 40 y 45 años,373.4939683,416.8338943,2672,2240,432,0,574,511,63,0
